table_id,image_file,class,order,alliance,association,releve_id,ref_code,map_reference,latitude,longitude,altitude_ft,altitude_m,aspect_deg,slope_deg,cover_pct,plot_area_m2,species,domin_value,presence_binary,raw_value,constancy_class,summary_value,total_species_reported,needs_review,note
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,R. heterostichum,x,1,✗,V,6.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Ulota hutchinsiae,.,0,.,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Ulota hutchinsiae,.,0,.,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Ulota hutchinsiae,2,1,2,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Ulota hutchinsiae,.,0,.,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Ulota hutchinsiae,.,0,.,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Ulota hutchinsiae,x,1,✗,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Ulota hutchinsiae,.,0,.,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Frullania germana,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Frullania germana,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Frullania germana,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Frullania germana,3,1,3,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Frullania germana,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Frullania germana,x,1,✗,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Frullania germana,x,1,✗,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,F. tamarisi,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,F. tamarisi,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,F. tamarisi,3,1,3,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,F. tamarisi,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,F. tamarisi,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,F. tamarisi,x,1,✗,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,F. tamarisi,x,1,✗,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Scapania gracilis,.,0,.,III,1,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Scapania gracilis,.,0,.,III,1,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Scapania gracilis,.,0,.,III,1,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Scapania gracilis,4,1,4,III,1,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Scapania gracilis,x,1,✗,III,1,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Scapania gracilis,.,0,.,III,1,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Scapania gracilis,x,1,✗,III,1,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Cladonia subervicornis,.,0,.,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Cladonia subervicornis,1,1,1,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Cladonia subervicornis,1,1,1,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Cladonia subervicornis,.,0,.,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Cladonia subervicornis,.,0,.,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Cladonia subervicornis,.,0,.,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Cladonia subervicornis,.,0,.,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Lecanora dispersa,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Lecanora dispersa,2,1,2,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Lecanora dispersa,1,1,1,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Lecanora dispersa,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Lecanora dispersa,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Lecanora dispersa,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Lecanora dispersa,x,1,✗,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Lecidea cyathoides,6,1,6,V,5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Lecidea cyathoides,4,1,4,V,5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Lecidea cyathoides,5,1,5,V,5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Lecidea cyathoides,5,1,5,V,5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Lecidea cyathoides,x,1,✗,V,5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Lecidea cyathoides,x,1,✗,V,5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Lecidea cyathoides,x,1,✗,V,5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Ochrolechia parella,5,1,5,III,4,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Ochrolechia parella,4,1,4,III,4,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Ochrolechia parella,.,0,.,III,4,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Ochrolechia parella,3,1,3,III,4,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Ochrolechia parella,.,0,.,III,4,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Ochrolechia parella,.,0,.,III,4,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Ochrolechia parella,.,0,.,III,4,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,O. tartarea,.,0,.,II,1.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,O. tartarea,5,1,5,II,1.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,O. tartarea,.,0,.,II,1.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,O. tartarea,.,0,.,II,1.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,O. tartarea,x,1,✗,II,1.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,O. tartarea,.,0,.,II,1.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,O. tartarea,.,0,.,II,1.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,*Parmelia glabratula,3,1,3,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,*Parmelia glabratula,.,0,.,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,*Parmelia glabratula,.,0,.,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,*Parmelia glabratula,.,0,.,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,*Parmelia glabratula,x,1,✗,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,*Parmelia glabratula,.,0,.,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,*Parmelia glabratula,x,1,✗,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,P. omphalodes,4,1,4,V,4.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,P. omphalodes,5,1,5,V,4.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,P. omphalodes,3,1,3,V,4.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,P. omphalodes,5,1,5,V,4.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,P. omphalodes,x,1,✗,V,4.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,P. omphalodes,x,1,✗,V,4.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,P. omphalodes,x,1,✗,V,4.3,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,P. saxatilis,4,1,4,V,5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,P. saxatilis,6,1,6,V,5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,P. saxatilis,6,1,6,V,5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,P. saxatilis,4,1,4,V,5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,P. saxatilis,x,1,✗,V,5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,P. saxatilis,x,1,✗,V,5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,P. saxatilis,x,1,✗,V,5,38,false,
